Unnamed: 0,Species,TREE_ID,Year,logF_current,X,Y
157,Pinus contorta,51846_5_51_6_2_134,2003,1.09324171,-119.5833333,38.375
158,Pinus contorta,51846_5_51_6_2_134,2013,2.516373138,-119.5833333,38.375
159,Pinus contorta,51846_5_51_6_2_135,2003,1.30936271,-119.5833333,38.375
160,Pinus contorta,51846_5_51_6_2_135,2013,2.783346138,-119.5833333,38.375
161,Pinus contorta,51846_5_51_6_2_136,2003,0.52115671,-119.5833333,38.375
162,Pinus contorta,51846_5_51_6_2_136,2013,1.995140138,-119.5833333,38.375
163,Pinus contorta,51846_5_51_6_2_137,2003,0.96611171,-119.5833333,38.375
164,Pinus contorta,51846_5_51_6_2_137,2013,2.452808138,-119.5833333,38.375
165,Pinus contorta,51846_5_51_6_2_138,2003,1.24579771,-119.5833333,38.375
166,Pinus contorta,51846_5_51_6_2_138,2013,2.745207138,-119.5833333,38.375
167,Pinus contorta,51846_5_51_6_2_139,2003,3.20359971,-119.5833333,38.375
168,Pinus contorta,51846_5_51_6_2_139,2013,4.664870138,-119.5833333,38.375
169,Pinus contorta,51846_5_51_6_2_140,2003,1.53819671,-119.5833333,38.375
170,Pinus contorta,51846_5_51_6_2_140,2013,3.050319138,-119.5833333,38.375
171,Pinus contorta,51846_5_51_6_2_141,2003,0.62286071,-119.5833333,38.375
172,Pinus contorta,51846_5_51_6_2_141,2013,2.122270138,-119.5833333,38.375
173,Pinus contorta,51846_5_51_6_3_118,2003,0.31774871,-119.5833333,38.375
174,Pinus contorta,51846_5_51_6_3_118,2013,1.766306138,-119.5833333,38.375
175,Pinus contorta,51846_5_51_6_3_119,2003,0.26689671,-119.5833333,38.375
176,Pinus contorta,51846_5_51_6_3_119,2013,1.702741138,-119.5833333,38.375
177,Pinus contorta,51846_5_51_6_3_120,2003,1.61447471,-119.5833333,38.375
178,Pinus contorta,51846_5_51_6_3_120,2013,3.101171138,-119.5833333,38.375
179,Pinus contorta,51846_5_51_6_3_121,2003,0.88983371,-119.5833333,38.375
180,Pinus contorta,51846_5_51_6_3_121,2013,2.376530138,-119.5833333,38.375
181,Pinus contorta,51846_5_51_6_3_122,2013,4.448749138,-119.5833333,38.375
182,Pinus contorta,51846_5_51_6_3_122,2013,3.03833071,-119.5833333,38.375
183,Pinus contorta,51846_5_51_6_3_122,2003,4.448749138,-119.5833333,38.375
184,Pinus contorta,51846_5_51_6_3_122,2003,3.03833071,-119.5833333,38.375
185,Pinus contorta,51846_5_51_6_3_124,2003,0.67371271,-119.5833333,38.375
186,Pinus contorta,51846_5_51_6_3_124,2013,2.173122138,-119.5833333,38.375
187,Pinus contorta,51846_5_51_6_3_125,2003,3.99180571,-119.5833333,38.375
188,Pinus contorta,51846_5_51_6_3_125,2013,5.478502138,-119.5833333,38.375
189,Pinus contorta,51846_5_51_6_3_126,2003,0.61014771,-119.5833333,38.375
190,Pinus contorta,51846_5_51_6_3_126,2013,2.045992138,-119.5833333,38.375
191,Pinus contorta,51846_5_51_6_3_127,2003,0.61014771,-119.5833333,38.375
192,Pinus contorta,51846_5_51_6_3_127,2013,2.033279138,-119.5833333,38.375
193,Pinus contorta,51846_5_51_6_3_128,2003,0.72456471,-119.5833333,38.375
194,Pinus contorta,51846_5_51_6_3_128,2013,2.160409138,-119.5833333,38.375
195,Pinus contorta,51846_5_51_6_3_129,2003,0.52115671,-119.5833333,38.375
196,Pinus contorta,51846_5_51_6_3_129,2013,1.995140138,-119.5833333,38.375
197,Pinus contorta,51847_5_109_6_1_106,2014,2.476407065,-119.875,38.04166667
198,Pinus contorta,51847_5_109_6_1_106,2004,2.741059209,-119.875,38.04166667
199,Pinus contorta,51847_5_109_6_1_106,2014,2.476407065,-119.875,38.04166667
200,Pinus contorta,52000_5_19_6_1_101,2015,-1.44389886,-118.8333333,37.08333333
201,Pinus contorta,52000_5_19_6_1_101,2015,-0.235655169,-118.8333333,37.08333333
202,Pinus contorta,52000_5_19_6_1_101,2005,-1.44389886,-118.8333333,37.08333333
203,Pinus contorta,52000_5_19_6_1_101,2005,-0.235655169,-118.8333333,37.08333333
204,Pinus contorta,52000_5_19_6_1_102,2005,0.78087614,-118.8333333,37.08333333
205,Pinus contorta,52000_5_19_6_1_102,2015,2.052684831,-118.8333333,37.08333333
206,Pinus contorta,52000_5_19_6_1_104,2005,0.32320814,-118.8333333,37.08333333
207,Pinus contorta,52000_5_19_6_1_104,2015,1.595016831,-118.8333333,37.08333333
208,Pinus contorta,52000_5_19_6_1_105,2015,2.929881831,-118.8333333,37.08333333
209,Pinus contorta,52000_5_19_6_1_105,2005,1.77249014,-118.8333333,37.08333333
210,Pinus contorta,52000_5_19_6_1_106,2005,0.03080914,-118.8333333,37.08333333
211,Pinus contorta,52000_5_19_6_1_106,2015,1.353469831,-118.8333333,37.08333333
212,Pinus contorta,52000_5_19_6_2_108,2005,-0.79553586,-118.8333333,37.08333333
213,Pinus contorta,52000_5_19_6_2_108,2015,0.438133831,-118.8333333,37.08333333
214,Pinus contorta,52000_5_19_6_2_109,2015,1.493312831,-118.8333333,37.08333333
215,Pinus contorta,52000_5_19_6_2_109,2005,0.34863414,-118.8333333,37.08333333
216,Pinus contorta,52000_5_19_6_2_110,2015,0.565263831,-118.8333333,37.08333333
217,Pinus contorta,52000_5_19_6_2_110,2015,-0.64297986,-118.8333333,37.08333333
218,Pinus contorta,52000_5_19_6_2_110,2005,0.565263831,-118.8333333,37.08333333
219,Pinus contorta,52000_5_19_6_2_110,2005,-0.64297986,-118.8333333,37.08333333
220,Pinus contorta,52000_5_19_6_2_111,2015,-0.36329386,-118.8333333,37.08333333
221,Pinus contorta,52000_5_19_6_2_111,2015,0.844949831,-118.8333333,37.08333333
222,Pinus contorta,52000_5_19_6_2_111,2005,-0.36329386,-118.8333333,37.08333333
223,Pinus contorta,52000_5_19_6_2_111,2005,0.844949831,-118.8333333,37.08333333
224,Pinus contorta,52000_5_19_6_2_112,2005,-0.28701586,-118.8333333,37.08333333
225,Pinus contorta,52000_5_19_6_2_112,2015,0.946653831,-118.8333333,37.08333333
226,Pinus contorta,52000_5_19_6_2_113,2005,1.74706414,-118.8333333,37.08333333
227,Pinus contorta,52000_5_19_6_2_113,2015,3.018872831,-118.8333333,37.08333333
228,Pinus contorta,52000_5_19_6_2_114,2005,-0.71925786,-118.8333333,37.08333333
229,Pinus contorta,52000_5_19_6_2_114,2015,0.527124831,-118.8333333,37.08333333
230,Pinus contorta,52000_5_19_6_2_115,2005,1.17497914,-118.8333333,37.08333333
231,Pinus contorta,52000_5_19_6_2_115,2015,2.421361831,-118.8333333,37.08333333
232,Pinus contorta,52000_5_19_6_2_116,2005,0.36134714,-118.8333333,37.08333333
233,Pinus contorta,52000_5_19_6_2_116,2015,1.607729831,-118.8333333,37.08333333
234,Pinus contorta,52000_5_19_6_2_118,2005,-0.85910086,-118.8333333,37.08333333
235,Pinus contorta,52000_5_19_6_2_118,2015,0.438133831,-118.8333333,37.08333333
236,Pinus contorta,52000_5_19_6_2_119,2005,0.48847714,-118.8333333,37.08333333
237,Pinus contorta,52000_5_19_6_2_119,2015,1.785711831,-118.8333333,37.08333333
238,Pinus contorta,52000_5_19_6_2_120,2005,0.70459814,-118.8333333,37.08333333
239,Pinus contorta,52000_5_19_6_2_120,2015,1.938267831,-118.8333333,37.08333333
240,Pinus contorta,52000_5_19_6_2_121,2005,0.98428414,-118.8333333,37.08333333
241,Pinus contorta,52000_5_19_6_2_121,2015,2.230666831,-118.8333333,37.08333333
242,Pinus contorta,52000_5_19_6_2_122,2005,1.58179514,-118.8333333,37.08333333
243,Pinus contorta,52000_5_19_6_2_122,2015,2.879029831,-118.8333333,37.08333333
244,Pinus contorta,52000_5_19_6_2_123,2005,0.92071914,-118.8333333,37.08333333
