,Species,TREE_ID,X_old,X,Y_old,Y,Year,logF_current
74,Quercus agrifolia,51820_4_79_6_4_116,-120.4583933,-120.4589933,35.33333,35.33363,2005,1.883293997
75,Quercus agrifolia,51820_4_79_6_4_116,-120.4583433,-120.4591433,35.33342,35.33382,2015,1.104798509
76,Quercus agrifolia,51820_4_79_6_4_117,-120.4584233,-120.4589233,35.33334,35.33414,2005,1.89903489
77,Quercus agrifolia,51820_4_79_6_4_117,-120.4584133,-120.4587133,35.33336,35.33426,2015,1.070395161
78,Quercus agrifolia,52304_4_83_6_4_1,-119.7917567,-119.7918567,34.00007,34.00007,2010,1.713780376
79,Quercus agrifolia,52304_4_83_6_4_1,-119.7916767,-119.7921767,34,34.0005,2020,1.511606317
80,Quercus agrifolia,52695_6_73_6_4_107,-116.7083833,-116.7089833,32.95842,32.95922,2002,1.628370361
81,Quercus agrifolia,52695_6_73_6_4_107,-116.7084233,-116.7092233,32.95835,32.95835,2012,1.968595004
82,Quercus agrifolia,52695_6_73_6_4_109,-116.7083833,-116.7088833,32.9584,32.9591,2002,1.872601839
83,Quercus agrifolia,52695_6_73_6_4_109,-116.7083833,-116.7086833,32.95842,32.95902,2012,2.256062815
84,Quercus agrifolia,52695_6_73_6_4_110,-116.7083333,-116.7087333,32.95833,32.95903,2002,2.583284431
85,Quercus agrifolia,52695_6_73_6_4_110,-116.7084033,-116.7092033,32.95841,32.95861,2012,2.919731964
86,Quercus agrifolia,53490_3_55_6_4_143,-122.50006,-122.50066,38.54173,38.54213,2008,1.829848227
87,Quercus agrifolia,53490_3_55_6_4_143,-122.50006,-122.50016,38.54171,38.54231,2018,1.311113686
88,Quercus agrifolia,53654_4_53_6_1_100,-121.50008,-121.50048,36.75001,36.75091,2005,1.863128228
89,Quercus agrifolia,53654_4_53_6_1_100,-121.50008,-121.50078,36.75001,36.75051,2015,1.25524898
90,Quercus agrifolia,53654_4_53_6_1_101,-121.50006,-121.50066,36.75002,36.75052,2005,2.066192073
91,Quercus agrifolia,53654_4_53_6_1_101,-121.5,-121.5002,36.75004,36.75054,2015,1.447802861
92,Quercus agrifolia,53654_4_53_6_3_118,-121.50003,-121.50093,36.75004,36.75084,2005,1.834112475
93,Quercus agrifolia,53654_4_53_6_3_118,-121.50005,-121.50065,36.75007,36.75097,2015,1.221038664
94,Quercus agrifolia,53654_4_53_6_3_119,-121.50008,-121.50098,36.75007,36.75087,2005,1.865406749
95,Quercus agrifolia,53654_4_53_6_3_119,-121.50008,-121.50028,36.75008,36.75098,2015,1.352910698
96,Quercus agrifolia,53654_4_53_6_3_121,-121.50004,-121.50054,36.75001,36.75081,2015,0.692769042
97,Quercus agrifolia,53654_4_53_6_3_121,-121.5,-121.5009,36.75002,36.75082,2005,1.408863645
98,Quercus agrifolia,53654_4_53_6_3_122,-121.50001,-121.50091,36.75009,36.75059,2005,1.598571559
99,Quercus agrifolia,53654_4_53_6_3_122,-121.50003,-121.50033,36.75005,36.75015,2015,0.971653579
100,Quercus agrifolia,53654_4_53_6_3_123,-121.50009,-121.50069,36.75002,36.75082,2005,2.44645116
101,Quercus agrifolia,53654_4_53_6_3_123,-121.5,-121.5006,36.75001,36.75021,2015,1.903328306
102,Quercus agrifolia,53654_4_53_6_3_124,-121.50006,-121.50076,36.75008,36.75048,2005,2.553349092
103,Quercus agrifolia,53654_4_53_6_3_124,-121.50006,-121.50006,36.75004,36.75064,2015,2.013310925
104,Quercus agrifolia,53654_4_53_6_3_125,-121.50007,-121.50047,36.75001,36.75051,2015,0.727836281
105,Quercus agrifolia,53654_4_53_6_3_125,-121.50001,-121.50081,36.75003,36.75073,2005,1.324840979
106,Quercus agrifolia,53654_4_53_6_4_109,-121.50009,-121.50019,36.75006,36.75066,2005,2.037307594
107,Quercus agrifolia,53654_4_53_6_4_109,-121.50003,-121.50083,36.75006,36.75026,2015,1.38992789
108,Quercus agrifolia,53654_4_53_6_4_110,-121.50005,-121.50065,36.75007,36.75007,2005,1.90038512
