Unnamed: 0,Species,TREE_ID,Year,logF_current,X,Y
139,Abies concolor,50206_3_17_6_1_109,2001,5.274614738,-120.008184,38.818547
140,Abies concolor,50206_3_17_6_1_109,2001,5.526674219,-120.008184,38.818547
141,Abies concolor,50206_3_17_6_1_109,2011,3.174449166,-120.008184,38.818547
142,Abies concolor,50206_3_17_6_1_109,2011,3.548535688,-120.008184,38.818547
143,Abies concolor,50206_3_17_6_1_109,2021,5.342017743,-120.008184,38.818547
144,Abies concolor,50206_3_17_6_1_109,2021,5.722074983,-120.008184,38.818547
145,Abies concolor,50206_3_17_6_1_110,2001,5.274887543,-120.008184,38.818547
146,Abies concolor,50206_3_17_6_1_110,2001,5.526947024,-120.008184,38.818547
147,Abies concolor,50206_3_17_6_1_110,2011,3.17475135,-120.008184,38.818547
148,Abies concolor,50206_3_17_6_1_110,2011,3.548837872,-120.008184,38.818547
149,Abies concolor,50206_3_17_6_1_110,2021,5.342361897,-120.008184,38.818547
150,Abies concolor,50206_3_17_6_1_110,2021,5.722419137,-120.008184,38.818547
151,Abies concolor,50206_3_17_6_1_112,2001,5.274774224,-120.008184,38.818547
152,Abies concolor,50206_3_17_6_1_112,2001,5.526833705,-120.008184,38.818547
153,Abies concolor,50206_3_17_6_1_112,2011,3.174646425,-120.008184,38.818547
154,Abies concolor,50206_3_17_6_1_112,2011,3.548732947,-120.008184,38.818547
155,Abies concolor,50206_3_17_6_1_112,2021,,-120.008184,38.818547
156,Abies concolor,50206_3_17_6_1_112,2021,,-120.008184,38.818547
157,Abies concolor,50206_3_17_6_1_117,2001,5.274719663,-120.008184,38.818547
158,Abies concolor,50206_3_17_6_1_117,2001,5.526779144,-120.008184,38.818547
159,Abies concolor,50206_3_17_6_1_117,2011,3.174600258,-120.008184,38.818547
160,Abies concolor,50206_3_17_6_1_117,2011,3.54868678,-120.008184,38.818547
161,Abies concolor,50206_3_17_6_1_117,2021,,-120.008184,38.818547
162,Abies concolor,50206_3_17_6_1_117,2021,,-120.008184,38.818547
163,Abies concolor,50206_3_17_6_1_120,2001,5.274618935,-120.008184,38.818547
164,Abies concolor,50206_3_17_6_1_120,2001,5.526678416,-120.008184,38.818547
165,Abies concolor,50206_3_17_6_1_120,2011,3.174465954,-120.008184,38.818547
166,Abies concolor,50206_3_17_6_1_120,2011,3.548552476,-120.008184,38.818547
167,Abies concolor,50206_3_17_6_1_120,2021,5.342076501,-120.008184,38.818547
168,Abies concolor,50206_3_17_6_1_120,2021,5.722133741,-120.008184,38.818547
169,Abies concolor,50206_3_17_6_1_125,2001,5.274824588,-120.008184,38.818547
170,Abies concolor,50206_3_17_6_1_125,2001,5.526884069,-120.008184,38.818547
171,Abies concolor,50206_3_17_6_1_125,2011,3.17466741,-120.008184,38.818547
172,Abies concolor,50206_3_17_6_1_125,2011,3.548753932,-120.008184,38.818547
173,Abies concolor,50206_3_17_6_1_125,2021,5.342240184,-120.008184,38.818547
174,Abies concolor,50206_3_17_6_1_125,2021,5.722297424,-120.008184,38.818547
175,Abies concolor,50206_3_17_6_1_126,2001,5.274648314,-120.008184,38.818547
176,Abies concolor,50206_3_17_6_1_126,2001,5.526707795,-120.008184,38.818547
177,Abies concolor,50206_3_17_6_1_126,2011,3.174491136,-120.008184,38.818547
178,Abies concolor,50206_3_17_6_1_126,2011,3.548577658,-120.008184,38.818547
179,Abies concolor,50206_3_17_6_1_126,2021,5.342080698,-120.008184,38.818547
180,Abies concolor,50206_3_17_6_1_126,2021,5.722137938,-120.008184,38.818547
181,Abies concolor,50206_3_17_6_1_127,2001,5.27476583,-120.008184,38.818547
182,Abies concolor,50206_3_17_6_1_127,2001,5.526825311,-120.008184,38.818547
183,Abies concolor,50206_3_17_6_1_128,2001,5.274770027,-120.008184,38.818547
184,Abies concolor,50206_3_17_6_1_128,2001,5.526829508,-120.008184,38.818547
185,Abies concolor,50206_3_17_6_1_128,2011,3.174629637,-120.008184,38.818547
186,Abies concolor,50206_3_17_6_1_128,2011,3.548716159,-120.008184,38.818547
187,Abies concolor,50206_3_17_6_1_128,2021,5.342244381,-120.008184,38.818547
188,Abies concolor,50206_3_17_6_1_128,2021,5.722301621,-120.008184,38.818547
189,Abies concolor,50206_3_17_6_1_129,2001,5.2748078,-120.008184,38.818547
190,Abies concolor,50206_3_17_6_1_129,2001,5.526867281,-120.008184,38.818547
191,Abies concolor,50206_3_17_6_1_129,2011,3.174663213,-120.008184,38.818547
192,Abies concolor,50206_3_17_6_1_129,2011,3.548749735,-120.008184,38.818547
193,Abies concolor,50206_3_17_6_1_129,2021,5.342252775,-120.008184,38.818547
194,Abies concolor,50206_3_17_6_1_129,2021,5.722310015,-120.008184,38.818547
195,Abies concolor,50206_3_17_6_1_139,2011,3.174789123,-120.008184,38.818547
196,Abies concolor,50206_3_17_6_1_139,2011,3.548875645,-120.008184,38.818547
